pathway	external_id	source	entrez_gene_ids
Proteasome Degradation	WP519	Wikipathways	23996,23997,57296,19182,19181,19186,19188,19184,19185,15007,66997,16912,16913,53380,21762,19179,26443,19173,19172,19171,19170,19177,19175,15978,66413,67089,103963,22201,19192,17463,22223,216080,51788,26442,69077,319172,70247,22123,66998,100043702,19166,19167,15270,56550,67151,26446,26441,26440,17999,74153,26445,14991,22210,26444,20014,50933,240095,22190
Biogenic Amine Synthesis	WP522	Wikipathways	1,518,621,990,144,170,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Regulation of Actin Cytoskeleton	WP523	Wikipathways	14174,14175,14176,14177,14170,14171,12927,14173,12928,240752,14674,14673,22376,56636,14268,19241,76884,237860,11789,18643,14172,216963,12671,12672,11465,11461,80903,213788,18481,50884,14178,14179,54126,12061,12062,14062,14061,225724,12631,12669,14180,14183,14182,14184,14186,101314,19303,227733,108100,66985,242687,18479,18176,13367,26413,19878,26417,109880,17901,19877,12988,107589,20130,170758,117150,26395,26396,110157,67771,17532,50772,225326,19353,19354,77579,16653,19684,214230,109711,80857,14168,83767,16333,16334,18720,16885,75669,14163,330662,12632,231637,109700,18590,18591,18596,232906,18595,16801,73341,13645,14701,13800,13649,224105,12475,20544,23805,17897,22330,66922,17451,18707,18706,18705,18704,320207,18709,18708,22350,74769,12540,17698,329165,108083,30955,241656,243764,22324,226970,70584,18718,18719,22349,29875,64654,18717,18710,17931,14169,14083,20663,20662,14167,14166,14165,14164,227753,67112,56419,245857,11848
neural retinal development	WP535	Wikipathways	20,688,225,600,238,700,000,000,000,000,000,000,000,000,000,000
Wnt Signaling Pathway NetPath	WP539	Wikipathways	16476,18099,77578,75826,56637,13728,59004,11789,21374,16842,23859,20377,14370,13001,13000,140577,110157,108058,26409,12534,27373,12532,16973,26564,16971,16974,13016,13017,328572,12387,20682,216869,26413,22408,13542,13543,14200,26419,208846,99470,17863,12393,13385,93687,13383,13380,14296,665283,56505,19353,57265,67087,16480,12995,22418,22416,93840,22415,26423,22413,26420,26992,12006,12005,12323,12322,12325,13132,76281,319478,17128,21402,22417,22421,12961,17127,12443,18751,104318,19052,18750,12234,18504,212398,17755,13544,15258,26417,109689,26965,14369,14368,14362,14367,14366,58198,21423,20319,19099,12550,23988,93960,14371,20664,21413,21418,11848,11651,22218
Synthesis and Degradation of Ketone Bodies	WP543	Wikipathways	15,356,110,446,153,600,000,000,000
Exercise-induced Circadian Regulation	WP544	Wikipathways	23994,18701,13690,16601,12741,20610,14011,22153,14585,54375,50884,238988,64209,19290,19053,12753,19317,217166,19663,216558,14864,22763,22229,12952,12953,15481,319554,14869,12608,53412,75062,27057,15502,14373,17878,68652,30960,22057,14998,26441,12417,353187,12226,11865,18626,18627,52331,319187,22218
Steroid Biosynthesis	WP55	Wikipathways	15,488,130,741,548,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Calcium Regulation in the Cardiac Cell	WP553	Wikipathways	18769,18768,14679,14678,18761,18760,53313,18762,14672,18767,11548,11549,12372,12373,14772,14773,19088,12672,14677,55948,213788,108058,11938,67972,320707,12669,210044,110893,414089,56533,100039786,216869,14619,14618,14615,67865,14617,14616,14611,14610,14613,12671,14695,14697,14696,20191,20190,14693,20192,14699,12317,12314,12315,12313,50778,50779,11936,11933,11932,11931,64214,18797,14609,14687,14682,14683,14681,11515,11514,14688,11512,18747,12322,26385,224129,12326,12325,18749,16521,58175,14225,22627,22629,22628,11941,19739,16439,16438,11749,18750,18751,18752,18753,18754,18755,52163,22631,14620,14621,14622,14623,14707,14706,64337,14704,14702,14701,16500,14709,14708,24012,56470,109689,19087,66066,19085,19084,19735,19734,19737,19736,118454,11513,20541,51791,12323,12292,12290,12297,12295,27222,243764,54401,14612,16519,432530,11550,12286,12287,11555,11554,11556,16440,12288,12289,50782,50780,104110,104111,18821
Eukaryotic Transcription Initiation	WP567	Wikipathways	###############################################################################################################################################################################################################################################################
Signal Transduction of S1P Receptor	WP57	Wikipathways	14,679,146,781,467,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Monoamine GPCRs	WP570	Wikipathways	15,557,155,511,555,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
FAS pathway and Stress induction of HSP regulation	WP571	Wikipathways	###############################################################################################################################################################################################################################################################
EGFR1 Signaling Pathway	WP572	Wikipathways	16476,20848,107686,20910,12927,216963,12929,18760,240752,18762,20847,20846,24064,11308,20779,58194,12371,12402,234779,56726,19707,12928,73086,18810,20851,19279,15194,11836,20459,110651,26401,26400,12703,12702,26405,26407,26406,16478,26365,194590,216190,18805,18806,12389,12388,18803,74155,20683,80794,64143,19303,11771,194655,11908,18479,16667,18176,433759,16668,13859,26413,26416,26417,13429,26419,20111,12988,17869,27387,12390,26395,26397,26396,20850,110157,19353,12912,16653,13860,109904,23942,14609,107435,19259,51789,271457,17974,17973,12322,14281,16396,56458,73178,14389,14388,22038,72993,215114,20404,20408,17126,17127,20617,13449,13854,223650,18750,18751,19766,19765,18759,13858,53859,67184,14786,14784,14783,13627,18738,19730,13645,382523,15461,20416,13649,57783,98910,13196,50915,232341,19229,245688,19247,18707,18706,19084,19734,18709,18708,19248,22687,74769,12540,16451,16452,20466,109333,30955,13712,13714,23938,23939,21815,54401,20112,22324,22325,218397,19252,19727,18710,15170,12608,208650,56392,20663,20662,23980,12606,110310,16691,16332,57257,13710,11651,11843
Leptin Insulin Overlap	WP578	Wikipathways	168,461,684,712,702,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Integrin-mediated Cell Adhesion	WP6	Wikipathways	12927,12928,20779,319480,381924,192897,18481,11836,29857,54126,225724,12389,26399,109905,19303,20363,18479,22793,26413,19878,16416,16411,16410,109880,16412,16419,19877,12988,107746,170758,215449,12390,12391,26395,26397,26396,110157,50772,19353,19354,16407,16404,16402,16403,214230,16401,104099,16408,16409,213119,16398,16399,16400,268958,18607,330662,26431,23797,12338,12339,12334,12335,12336,12337,12333,14784,20418,15461,20416,320910,16420,20411,224105,16414,241226,22330,21961,26414,18709,212541,16421,23830,14360,21894,23938,23939,228785,22323,22325,16202,70584,73647,109700,14083,20662,57257,11652,11651
miR-1 in cardiac development	WP608	Wikipathways	151,115,435,216,508
Pentose Phosphate Pathway	WP63	Wikipathways	213,516,617,121,881,000,000,000,000,000,000,000
Insulin Signaling	WP65	Wikipathways	16476,18642,20910,20913,18641,18761,12928,18762,56637,16568,64930,16370,259300,16001,12402,104215,20912,20528,19159,73086,22084,19268,29857,19341,26401,26400,26403,12702,26405,26404,26407,26406,26409,26408,80837,17913,16573,13685,13684,225724,56437,50772,67071,19353,20614,20619,26412,26413,26410,26411,26416,26417,26414,26415,26419,20111,20112,20525,233071,107746,26395,26397,26396,110157,26399,26398,225326,18605,16890,105787,108079,19354,19211,210789,399510,26420,19047,13660,228775,14281,56613,56458,14936,225028,16150,22318,16332,14388,232493,16337,338372,18607,53608,75669,72508,58988,18750,18751,18753,18755,18759,12331,53859,22433,14784,14783,14251,14252,15461,20416,20411,23921,50915,20807,19247,19246,18707,18706,18705,18704,71751,18709,18708,56717,74769,13653,269881,20393,30955,216148,13712,23938,23939,27219,26921,19744,80794,20911,19094,110651,18710,56484,208650,16367,20663,20662,16369,20909,11845,269180,12703,11652,20418,50932,11651,27357,11840
Amino Acid metabolism	WP662	Wikipathways	2,420,831,912,514,190,000,000,000,000,000
Leptin and adiponectin	WP683	Wikipathways	1,684,616,847,105,780,000,000,000,000,000,000,000,000,000,000,000,000
Wnt Signaling Pathway and Pluripotency	WP723	Wikipathways	20674,16476,18099,18761,18760,18762,56637,11789,19015,16842,18792,21405,93735,30050,26409,26934,17393,56805,26931,26932,27373,12388,16973,12387,16974,13016,13017,328572,18472,13544,22409,22408,26414,13543,17869,71950,12505,14296,57265,12914,18999,22418,22419,22416,22417,22414,22415,22412,22413,22410,26420,12006,12005,71887,14283,52432,73699,22422,22421,22420,93960,12444,12445,12443,19052,19053,18750,18751,18752,18753,18754,18755,18759,22411,18044,16835,72293,110854,269643,71978,13542,14369,14368,14362,14365,51792,14367,14366,72930,15221,14370,14371,21413,21410,21415,11848
Glutathione and one carbon metabolism	WP730	Wikipathways	75,475,108,645,148,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Tryptophan metabolism	WP79	Wikipathways	72082,56752,15108,22375,107626,18293,15107,70790,21743,21990,107766,22215,93747,11669,11668,110446,12359,270076,13123,56720,13106,11761,57751,15930,109731,266645,19378,15469,76507,74754,70789,13075,11671,13107,13076,23923,13077,13078,13195,71562,64385,11298,13110,17246
Focal Adhesion	WP85	Wikipathways	16476,13712,12927,94216,12929,12928,22371,22370,56637,12832,12831,20779,329278,12834,13367,319480,54635,381924,11465,11461,192897,11852,15162,170736,16779,11836,105083,16772,16773,16774,16775,16776,16777,22165,12829,12824,12825,12826,12827,225724,12389,11652,192176,20363,12143,109905,19303,243659,14268,19354,226519,18607,30955,22793,16414,230661,16416,16411,109880,16412,20750,16419,19877,14205,107589,16780,19878,16782,83813,107746,170758,14191,12390,12391,26395,26397,26396,18595,26399,19353,50772,215449,13866,19211,16407,16404,12445,16402,16403,16400,12643,12842,12843,104099,16408,16409,12043,15234,21923,213119,16398,16399,15891,21828,214230,16401,21826,21827,21825,75669,18479,18590,18591,18596,19699,23797,12444,109711,12443,16000,241226,71785,12333,227377,14784,14254,13645,20418,17295,20416,320910,16420,16421,13649,224105,26413,23928,11855,53867,22339,22330,21960,18707,18706,18481,320207,18709,18708,12815,12814,74769,12540,14360,26419,17904,21894,23938,23939,241656,20459,228785,20811,22323,22324,18654,16202,70584,29857,18717,22340,22341,17931,51789,14083,20662,26420,11797,11796,12015,11848,81877,11651
Nucleotide Metabolism	WP87	Wikipathways	3,829,851,545,219,130,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Toll Like Receptor signaling	WP88	Wikipathways	220,311,429,802,203,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
IL-4 signaling Pathway	WP93	Wikipathways	14360,16331,19247,320129,54721,18706,20375,18709,18762,20846,20844,26413,26416,26417,18033,14159,16451,18707,16453,16452,16190,20416,23871,13449,17969,12402,15361,56468,72508,18753,20850,16164,20852,18759,75292,218397,19697,18708,19094,14784,12914,15170,12703,14083,16367,16186,12702,20662,16189,16818,11651,18803,12767,13712,114774,12048,12015,328572,20779,11909,384783
Cell Differentiation - Index	WP2082	Wikipathways	387176,387151,723821,387173,21908,723828,723829,387136,387134,387139,27140,723954,723827,15184,100049549,387187,17258,17259,751550,20848,387164,723819,723960,387147,723968,723817,387168,723814,723905,723890,723903,723870,723949,735252,387199,21909,387194,17261,17260,723906,20807,387231,17927
SREBF and miR33 in cholesterol and lipid homeostasis	WP2084	Wikipathways	5,072,119,017,937,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
miRNA regulation of DNA Damage Response	WP2087	Wikipathways	19367,11350,12367,19360,19361,13197,228012,17220,101056596,17535,50883,12448,11783,434175,57913,24086,22059,12370,12371,12444,12445,12442,12443,211651,24061,107986,18854,12568,12567,12566,387139,58801,21933,19645,245000,387206,23882,382985,14102,640611,19356,19355,12447,12912,723960,723814,15270,268697,19687,12189,17873,12028,12649,55948,12450,140742,723905,12534,210554,12532,387199,12530,209091,12571,12576,13555,12575,100043266,19365,19891,11920,17246,12122,387231,235610,27354
Serotonin and anxiety	WP2141	Wikipathways	1,291,814,394,561,930,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
S1P pathways and spinal cord injury	WP2170	Wikipathways	206,981,360,956,632,000,000,000,000,000
Cytokines and Inflammatory Response (BioCarta)	WP222	Wikipathways	1,859,012,985,129,810,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
PodNet- protein-protein interactions in the podocyte	WP2310	Wikipathways	231470,19261,21894,13641,12927,22770,12928,12488,56320,18764,26360,12830,108100,64176,18129,208117,213556,18779,18128,77579,18793,12402,20779,13082,18074,50791,192662,192897,21809,27205,224105,14132,19401,12159,320799,16779,241324,387609,112406,11603,14107,71365,108058,19277,13199,16776,14219,18008,12829,22088,14066,330222,12628,268902,12822,209039,60595,16531,15213,18803,12385,12387,12386,24117,12305,226352,19303,16007,17926,75788,50766,243328,20683,226519,20613,18479,15530,103967,75687,67703,13039,216869,235041,16416,16410,109880,16412,16542,18073,20750,16419,72401,12988,13992,246179,21345,20742,12015,68404,19225,68318,55982,29875,11607,14924,11600,54631,67771,19664,101543,11608,19353,240725,70549,19219,20533,11867,14042,16658,241308,112407,18186,218772,16480,22337,16403,16400,17131,17130,68089,12443,19164,67393,319594,12453,56513,17974,17973,14726,18747,12322,76089,18571,12325,73178,16398,22330,13138,18749,20181,16332,170643,20740,20346,57278,16337,20350,18451,19341,19342,15945,12631,13430,93840,242274,19894,59287,17126,17127,232906,72333,12569,12568,18693,225341,211652,65962,12560,93742,19055,432530,18189,18750,57342,16000,16001,18754,18504,18260,18759,16008,72674,11819,13047,54380,19339,16796,20892,18708,74055,22431,70435,19165,56177,14784,21803,50798,14234,57875,74440,74117,17295,20416,22288,18213,13800,12578,16009,13819,12476,56362,110829,15251,12576,12577,12575,76709,80987,64929,22339,13052,12340,170484,17886,12345,216033,22408,18707,18706,18704,18709,13543,22350,56715,21412,74769,72058,16825,12540,11487,14360,18131,18132,16456,12323,12695,72281,104027,21423,20315,19876,66734,30957,58194,11461,56378,226548,12166,21813,21812,17199,29817,54401,22323,22325,12343,12388,16202,13429,21872,22346,22612,12162,66713,12043,14083,192119,18021,217707,22068,21390,105782,13043,22223,110310,11799,12361,16852,11793,243911,231532,16917,30924,17528,20692,66102,70737,229658,11848,21808,12828,11651,224796,71602,66340
PPAR signaling pathway	WP2316	Wikipathways	74551,83996,18607,103968,12895,12894,100040843,11807,83995,93732,666168,30049,14079,113868,225579,108078,14077,11814,16202,19015,19016,74147,11450,26458,26459,26457,11364,11363,20411,50790,13124,14933,13122,433256,435802,329065,18830,12491,94180,14626,12896,16204,17436,277753,11806,11832,78070,14080,14081,16592,328845,57875,16956,22190,13167,216739,66113,20280,20249,20250,20182,20183,11430,26569,22227,230639,19013,80911,235674,104086,22259,12140,13117,74205,56473,11770,13119,13118,18534,15360,20181
G Protein Signaling Pathways	WP232	Wikipathways	14679,14678,14677,14676,14675,18762,14673,29863,18797,18761,18760,14674,14672,432442,210044,18176,14695,14697,20130,14693,14699,12313,16653,18583,18584,14687,14682,14683,14680,14681,56697,11514,11513,11512,18747,18575,110385,18577,224129,18573,18578,18749,238871,75292,16438,16801,19055,19057,18750,18751,18752,18753,18754,18755,18759,14707,14706,64337,14704,14701,14700,15461,218461,14709,14708,11515,19087,66066,19085,19084,19088,14710,20544,75547,14688,83397,18574,11641,11640,11643,11642,16519,238276,238161,432530,219181,56399,11848,100986,104111,104110
miRNAs and TFs in iPS Cell Generation	WP2375	Wikipathways	20,674,536,071,899,900,000,000,000,000,000,000
Signaling by VEGF	REACT_90528	Reactome	22,339,142,541,865,400,000,000,000,000,000,000,000,000,000,000,000
Spinal Cord Injury	WP2432	Wikipathways	19262,11829,13838,14573,12772,121021,20564,233781,20562,20563,12064,13004,19645,13003,11852,11853,640611,12534,58250,12824,12826,17395,14580,13559,20682,13555,16176,16177,15894,16175,100505254,65079,18784,26413,19878,26417,20296,17381,20358,17869,433749,18610,69583,14825,16952,20344,14609,17136,387217,19283,12450,11595,21926,14281,53357,18053,14225,14130,15945,21336,12443,14432,12032,19055,12567,12566,18750,18733,18208,244058,24099,16183,13642,18125,16189,16423,259277,18377,13197,18845,12227,14810,22352,13653,22059,20310,21898,17196,16193,15978,16994,16995,50490,22695,12367,15370,68585,21803,11848,11846,18780,381833,18126
Circadian clock tutorial CGrove	WP2535	Wikipathways	129,521,295,312,753,000,000,000,000,000
Primary Focal Segmental Glomerulosclerosis FSGS	WP2573	Wikipathways	100503129,16917,12488,22370,16202,67703,22352,14083,13138,16416,54139,13429,16412,14360,17380,17345,12946,243911,22431,12323,18128,104027,70435,21898,110829,54631,18504,11603,27205,12737,17886,16779,22630,12492,74055,13380,14107,19277,192897,16974,16776,100503504,12830,16449,12828,18538,16400,12558,22068,21894,12519,54380,16691,12476,18803,12829,16973,12387,18793,12576,12577,17973,12575,16410,21803,13039,170484,11651,71602,22288,22330
Delta-Notch Signaling Pathway	WP265	Wikipathways	16476,20848,208117,103806,26965,433759,18709,18708,11820,56637,16842,18035,60406,17128,20602,56381,21402,19664,11487,16450,59287,16452,18131,18132,18133,50754,16818,270118,14199,15182,21423,22761,26413,140484,100043674,15208,16848,17127,19763,328572,13649,18222,18223,17125,66354,22059,20466,13388,22632,15205,100039623,66935,54485,14357,16656,433586,55927,12566,12804,16449,18550,17172,11491,18129,18128,17137,19164,19165,15214,20185,15213,19697,27401,13645,21885,57750,17260,12805,16396,17305,12803,11651,66340,26417
B Cell Receptor Signaling Pathway	WP274	Wikipathways	12483,20848,12927,16476,12929,18760,15162,15163,22376,56637,17164,26377,18019,18018,12371,12520,12402,12028,19264,234779,18761,20963,19645,12928,30955,76108,56743,56233,20846,24055,26409,77799,18003,225724,18803,12387,83436,12143,240168,67603,68089,11909,12571,12902,26413,26411,26416,26417,109880,12428,26419,20111,606496,15184,12507,77590,107746,117150,26395,26396,17096,110157,67771,27261,12912,20104,16818,15985,12518,12043,12517,17973,12675,56458,83490,16150,16151,12125,16331,14389,14388,18720,14130,670717,18607,18604,19696,19697,19056,16439,16438,72508,19058,12447,12444,12445,21682,13448,19055,12567,12566,18751,18753,18754,22637,14784,16428,74117,20416,72699,23921,12572,12478,12053,76709,11867,19253,19229,12229,19247,15387,18709,18708,108723,18035,16822,17060,68119,14360,242248,66713,108083,381290,13712,14886,56378,12988,22324,22325,218397,18718,18719,319520,18717,15170,12042,208650,14083,18021,20663,20662,56792,12369,11848,101476,11651
Electron Transport Chain	WP295	Wikipathways	67273,20523,110323,11983,67680,17719,227197,66377,66152,67264,71679,17717,17716,17711,17710,69802,74011,17718,17992,17995,230075,17993,407785,17991,54405,22272,22273,52892,20930,67942,66416,66414,66142,12859,12858,225887,66495,12857,17709,100042918,66091,78330,11957,22229,11958,70316,22227,11951,11950,22228,27425,28080,72900,226139,66945,66046,66043,11949,11946,11947,17720,17721,17722,11740,67003,595136,68375,67126,12861,12862,66052,12865,12866,12867,12868,17706,226646,17705,68202,11739,67130,66694,66925,66594,12864,20463,68055,66218,68198,67530,17708,12856,68194,68197,433923,75406,66916,228033,57423,68349,66108,68342
G13 Signaling Pathway	WP298	Wikipathways	187,071,864,316,885,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Translation Factors	WP307	Wikipathways	26905,18459,53356,13690,13629,54709,26908,20918,13664,208643,18458,217715,27979,19106,68135,217869,16418,75705,67160,13631,218693,225363,78655,67204,15467,13684,276770,230861,22384,108067,108112,55944,13688,16341,13682,13681,13685,55949,13669,13627,66085,224045,13665,13628,13667,13666,66656,56347,209354
Glycogen Metabolism	WP317	Wikipathways	23,249,377,559,741,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
GPCRs, Class C Metabotropic glutamate, pheromone	WP327	Wikipathways	10,806,910,806,812,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
ESC Pluripotency Pathways	WP339	Wikipathways	14174,14175,14176,20848,14170,14171,14172,14173,14178,14179,56637,56636,14177,11789,21405,110157,17125,66713,11836,29857,93735,225724,50772,12387,14182,14184,16974,14186,11477,55994,20363,14183,16878,13544,26413,22409,22408,109880,13543,18590,17869,18591,26395,26397,26396,12159,80903,26399,57265,19211,22418,22419,22416,22417,22414,22415,22412,80857,22410,22411,12005,16880,14388,17131,17128,17129,17130,22422,22421,22420,18596,18595,23797,22413,14180,353283,14784,13645,13649,19247,18707,13542,18709,14369,14368,16451,16195,14362,14365,14367,14366,23938,23939,64654,14169,14168,20662,14370,14371,14167,14166,14165,14164,67112,18121,12167,12166,11652,11651,12168
Small Ligand GPCRs	WP353	Wikipathways	1,921,814,739,177,730,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
IL-3 Signaling Pathway	WP373	Wikipathways	20848,54721,15901,12929,12928,15162,20846,56637,17164,20779,12402,20375,20963,20850,19401,110157,12700,12702,17390,17395,15507,14460,14461,109905,19303,11908,11909,18479,100039786,26413,12983,26417,13429,26419,606496,14694,12015,107746,14128,26395,17096,20851,20852,19353,19354,12912,16653,20344,12649,26420,16818,20181,18747,56458,12125,16331,14389,14388,20525,17532,21682,58988,19052,18750,18751,216233,21938,22631,14784,16187,15461,20416,16188,12028,26416,22330,19247,18707,18706,18709,18708,18033,14159,16451,14360,16452,12540,56461,23939,54401,22324,15170,12043,14083,20662,12048,17179,11799,11651,12169
Hypertrophy Model	WP202	Wikipathways	10,776,516,173,214,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Heart Development	WP2067	Wikipathways	19247,18091,73181,387136,14179,26413,17128,14234,20423,18019,109575,17125,18018,12159,12154,12156,14465,21388,387161,22339,387163,14106,13867,57246,21385,22341,22340,18021,18128,15111,15110,14165,12180,15214,20893,15213,14463,12387,15376,16392,17260,17300,12166,50916,18741,20807,12168
Nucleotide GPCRs	WP207	Wikipathways	16,995,115,396,716,800,000,000,000,000,000,000,000,000,000,000,000,000,000
Neural Crest Differentiation	WP2074	Wikipathways	21909,14170,22771,15901,20678,14179,56637,18014,15205,14173,15208,15110,11852,16873,241201,56233,22160,12824,14580,17703,15214,16870,12387,14182,14184,13395,13017,14183,20613,20682,17702,22408,16412,12587,15221,15185,15182,16869,17863,12159,19664,13388,13389,94222,70315,15407,22416,12006,12005,16392,20583,235472,14472,23871,17125,18858,12563,65100,18505,18509,20890,21413,21389,54485,17528,18129,18128,15394,100504541,13190,50913,50914,14618,170787,17342,12815,18034,18033,14365,18131,18132,18935,208727,17196,15184,12550,17172,12558,20665,15183,232232,140477,21415,107771,21419,21418,79221,12162
Alzheimers Disease	WP2075	Wikipathways	12568,12333,70405,18125,12367,70261,15925,53313,11820,56637,19055,11785,17762,100043266,18795,15108,11783,11487,59287,226641,17380,20617,12370,19059,18796,18797,20192,12015,12292,16439,54652,18798,12314,19056,19057,226548,11816,12315,12313,21937,11937,16176,22059,80796,100039417,19058,14102,12371,16438,11938,78943,23821,14082,12364,16956,11491,16440,12288,12289,56398,19164,19165,12122,14682,26413,12334,12569,16971,12369,13666,21926,14814,14813,14812,14811,14810,234664,66340,26417
miRs in Muscle Cell Differentiation	WP2076	Wikipathways	208,071,590,272,382,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Serotonin Receptor 2 and STAT3 Signaling	WP2079	Wikipathways	2,084,814,682
TFs Regulate miRNAs related to cardiac hypertrophy	WP2080	Wikipathways	21,803,208,481,803,300,000
SRF and miRs in Smooth Muscle Differentiation and Proliferation	WP2081	Wikipathways	1,726,112,444,166,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Nicotine Activity on Dopaminergic Neurons	WP2083	Wikipathways	1,256,816,527,190,490,000,000,000,000,000,000,000,000,000,000,000,000
miRNAs involved in DNA damage response	WP2085	Wikipathways	751527,387174,387175,723827,12576,723828,387134,387135,723885,723932,387139,723868,723938,100124471,22059,12447,12443,387245,387247,387224,387222,387223,387206,751537,723960,387161,387163,11350,12912,723814,723905,723891,723890,723879,100190765,723925,387217,387216,735252,387199,12530,723849,12571,387190,723907,13555,12575,751546,100049710
Serotonin and anxiety-related events	WP2140	Wikipathways	1,292,112,918,561,930,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Striated Muscle Contraction	WP216	Wikipathways	140781,71912,22352,22138,13405,17901,17929,17906,17868,326618,17888,59069,21925,17879,11465,11464,11475,17883,17885,233199,21956,21957,21954,21955,21952,21953,21916,17930,12373,22003,22004,60595,17996,98932,17884,11474,21924,11472,11459,66106,21393,13346,17896,17897
Purine metabolism	WP2185	Wikipathways	15452,14919,231903,54195,11821,29863,107569,53893,245841,59001,74414,67967,18950,231329,231327,23917,27369,110639,22262,14923,56520,72090,72157,18770,66401,229589,14917,66355,66979,76974,109674,60596,18969,18968,210044,94041,625405,75533,229363,328099,230103,75456,230718,14450,11564,11565,11566,67065,14198,69241,19076,23971,19075,23972,18971,18972,18973,18974,12499,67464,242202,50773,245650,64424,71701,215446,66420,239134,67710,66136,18588,18103,18102,23918,18583,18582,18585,18584,18587,69745,20021,20020,67005,11513,11512,207728,18575,110385,18577,224129,18573,18578,78600,70408,18605,237823,16434,20133,23959,20135,108147,103850,67486,22436,78801,66681,76025,105446,229949,11486,66566,78929,100042069,218461,54369,110855,225600,209558,271639,69870,171567,69920,14544,11534,11515,11639,11514,11636,11637,218832,20022,70428,66491,100043714,20016,20017,20018,20019,18574,74167,19139,18746,18160,18576,69833,667034,70881,229665,66358,100046796,14918,382985,12495,12497,12496,54611,238871,79059,67054,23984,76952,13178,11717,241489,234889,432530,26939,104111,104110
Macrophage markers	WP2271	Wikipathways	12,524,171,051,247,500,000,000,000,000,000,000,000,000,000,000,000
Acrosome Reaction	REACT_166198	Reactome	11434
ceramide biosynthesis	PWY3DJ-12	MouseCyc	71,949,241,447,707,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000
Pyrophosphate hydrolysis	REACT_95630	Reactome	7,477,667,895
Pentose phosphate pathway (hexose monophosphate shunt)	REACT_101565	Reactome	11,020,814,380,661,700,000,000,000,000,000,000,000,000
Pre-NOTCH Processing in Golgi	REACT_120537	Reactome	18,132,145,955,461,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
acetyl-CoA biosynthesis (from citrate)	PWY-5172	MouseCyc	104112
