GeneName	day1	day2	day3	WOexpr
AFAP1L2	4.27652212	-2.757121459	6.114310455	0
PPP4R4	2.965473135	-3.617100726	-3.660315377	0
RAET1G	2.279359614	3.681714219	-1.927921421	0
SMAD1	-1.833548086	-3.804308012	4.703144905	0
MIA3	1.228223519	4.054360578	-3.057333755	0
UBA7	-2.4845726	-4.881695768	3.036504171	0
GAREM1	1.464071823	-3.573263217	4.50145136	0
GFPT2	3.908263853	-2.380400932	4.611997804	0
SMYD5	-1.873740597	-3.235811164	-2.199260395	0
PSMB8	-1.447534449	-2.831221477	-1.846111367	0
DMRT2	5.640851098	1.812173303	-1.86184729	0
PNPLA3	-1.866060861	-2.27619336	1.037768508	0
PIEZO2	-1.401675703	3.246974676	4.256309529	0
OR10J6P	-2.885158449	-5.074820212	4.958567528	0
#N/A	-1.625100382	-2.088763218	2.61917152	0
SLC35D1	-1.920377815	1.775099154	-3.225266463	0
FAM99A	-4.879171852	-3.109960276	3.828534484	0
AL390719.1	2.770026767	-2.836895567	0.993696543	0
SULF1	-3.002978799	2.074251823	-1.937604297	-1.139148748
HPD	-1.383114903	-1.375521978	-1.299523404	0
UBE2Z	-1.324626633	-3.51780524	3.258936122	0
NQO1	-1.660767639	-1.66668463	4.627647845	0
BCL2L11	1.721496699	4.473729179	-2.183910329	0
APOBEC3G	-3.502456073	-2.828983214	-1.816138644	0
TLR3	-2.850819298	-1.843096055	-2.653498393	0
TUBA1C	-2.13848107	-3.7781635	2.578898247	0
MT-ATP8	-3.619794304	-2.848725632	-1.348636537	0
SYN1	4.19319618	-2.555553172	0.413369898	0
LZTFL1	2.442359275	-2.96427272	2.39501928	0
TAF3	1.698991129	4.313610857	-2.605676689	0
PRMT2	-1.765701883	-2.241270963	5.462366442	0
CD274	2.892711758	-2.513569198	6.211414359	0
SSTR1	2.536660231	-1.163115911	0.979029894	0
FILIP1L	-2.317362191	-2.964973466	1.148430836	0
SLC25A36	4.326988947	3.3382961	-1.70473881	0
TUBB2B	2.512681091	1.72283582	-1.513050017	0
YPEL4	3.381022453	-2.417311327	-4.35837424	0
PHOSPHO1	6.060517105	-1.092737277	-2.481290762	0
HPSE	3.454082787	-0.711875994	2.782883776	0
CDCP1	3.438279842	4.852486094	-2.354944891	1.609869035
AC240274.1	1.575136318	-1.061246008	-2.862552252	0
ANKRD2	-3.883619909	5.589629286	-2.0526452	0
GCNT4	-2.323001921	2.62326044	6.38542994	0
TGFBI	-1.553213974	5.258737713	-2.487411665	0
PLAG1	3.63567812	-1.466254471	3.719224674	0
SNORC	-3.536449288	1.459598423	-1.64070276	0
PLEKHA2	-2.175457943	4.504315611	1.32387102	0
JAG1	-1.331571335	4.877024994	5.31354132	0
TIMELESS	-1.862383482	1.656224815	-1.704924548	0
TRPM8	-1.830434266	2.996243801	4.829709864	0
EFNA3	3.548672525	2.584672668	1.615615571	0
ZC3HAV1	-1.131926044	-1.864302006	-1.166192151	0
NARF	1.296436342	2.572967445	-1.381789826	0
FNDC3B	-1.28284514	4.033397634	-2.085056119	0
RAB3C	3.602532857	2.5344002	-1.830163393	0
NSMAF	-2.0126604	-3.383616531	4.514625933	0
PHLPP2	-1.279977747	2.004651223	1.461235294	0
PMF1	-2.022149184	1.399701847	-1.218956443	0
CPNE2	-2.479809721	5.714367223	7.968245724	0
UBE4A	1.270729963	-0.931263511	0.999839589	0
CLMN	1.27069916	-1.320068183	3.035035274	0
NFIB	-1.455478534	-3.818342746	0.848065251	0
AKR7L	-2.515681518	3.40425042	1.351652555	0
AL583836.1	-2.466746983	6.983992105	-5.71590427	0
CAMSAP1	1.070094741	-2.238445969	-5.374090605	0
TEAD2	-2.554242359	-2.426772889	4.094146144	0
DPP3	-1.97602725	-0.899604898	-3.280818183	0
CTPS2	-1.961956279	1.400419014	-2.882985306	0
SOCS2	-2.410567595	4.405180119	-3.804242611	0
ADGRB2	5.059634936	-2.31053258	4.81176568	0
GNS	1.112682791	2.746473737	3.957014422	0
PUDP	-1.457060521	1.011458171	-2.356823895	0
CTH	1.768841497	5.966902681	-2.549502676	0
CDS1	3.68094238	2.806168419	2.43395645	0
DNAAF3	4.53861743	-2.746757071	-1.281426415	0
LRRN2	-3.401916869	2.199232275	-4.499918895	0
VPS35L	-1.292763473	5.712700004	-2.515767497	0
VCP	-1.303557201	-1.651834436	1.558619611	0
SYT5	5.239387591	-1.150662583	-2.824395364	0
TNFSF9	3.735070566	-0.877849815	2.138519704	0
RGS10	3.207861558	-2.989172634	-2.537275532	0
SCAI	1.750976095	1.111463415	-0.948140248	0
LINC02158	3.433576029	3.370052259	1.635617852	0
SKAP1	-3.784389661	1.328682002	6.4357578	0
UGDH	-1.871839826	2.088708786	2.657885925	0
OTC	-4.233724675	-2.950587892	-1.576600149	0
NUAK2	-3.206525935	-3.361796526	3.75435029	0
EXOSC10	-1.497507777	-1.933715232	-1.519818831	0
PCDH10	5.557436234	2.928775754	3.472609078	0
SLC30A3	5.091418472	3.90733608	-5.52743998	0
PLPP2	3.509601538	-1.414841521	-1.356438888	0
NEK6	-1.862119854	-1.824405058	1.097045482	0
KRT8	-2.523198523	-2.203756839	1.596226159	0
CDKN2AIPNL	1.428705161	-2.432539669	-2.747942698	0
HNF1B	-2.48917185	5.937130838	2.140427661	0
ELMOD1	3.84903819	2.027976726	6.162709713	0
ADI1	-1.342486833	-3.772056274	-2.705702435	0.583734995
ABCG4	4.855840728	1.707635648	2.778680722	0
CHRAC1	-1.76174183	-1.719762095	2.496242853	0
CARD6	-2.927615835	-1.441995112	-3.643626393	0
ABCC3	-2.43877514	-1.534206667	-1.822023057	0
KRT80	-3.296758377	-0.667593324	3.424066874	0
DPYSL5	4.290550856	-1.879866884	-0.677917438	0
UBE2Q2	-2.139637117	2.429554429	-3.834168621	0
PAIP2B	1.919475514	-1.7497517	3.118621458	0
SLC9B2	-1.420480204	6.730724519	-0.81239526	0
CFLAR	-1.298849537	4.41705344	-3.311112259	0
UNC5CL	-2.651336964	-3.632254055	-3.535114451	0
KAT5	-1.703487355	-3.0290881	1.900134866	0
UBE2C	-2.736285423	2.659891083	3.220882051	1.84331099
TXNRD2	-2.257082818	-2.472577179	5.66565122	0
KIF3A	1.972737951	1.152521399	-4.049121476	0
TPM1-AS	-2.877782471	0.845750865	1.12943519	0
LRRC49	3.448184257	6.029889134	-1.093882539	0
ARSB	-1.220244589	1.109727145	-3.682809122	0
GLYATL1	-2.680639082	-1.632837357	3.752510703	0
FUS	-1.467958524	-1.980352145	-0.766870322	0
AC023157.3	3.003577476	-2.208685183	3.253063813	0
BCAS1	-4.30380487	-2.370334161	3.933818011	0
PSG2	-4.194658031	1.774409441	5.84804401	0
CXCL1	-2.844393267	1.150461049	-4.783560962	0
CHST9	-1.654340309	1.86418984	1.902775843	0
SYBU	1.263837109	2.330855089	5.146142122	0
SMC4	-2.345962239	-2.897143138	1.210919617	0
KCNJ10	3.575587977	5.707923527	-3.36590218	0
DIRAS1	4.369433771	-3.837764644	-1.364944046	0
SLC25A37	1.16849442	-4.380214629	7.3206298	0
CIAO1	0.962841282	2.847159178	3.263659048	0
CDK2AP1	-1.573164241	-4.109895857	4.999750679	0
CKAP4	-1.593937492	4.150406186	3.288601233	0
ABLIM1	-1.280524073	-1.507819231	1.534173303	0
LAD1	-2.880089394	2.25307783	-0.641801791	0
ACADSB	1.744140205	-3.981431621	-1.263969023	0
DUSP5	1.539261104	1.186653505	-1.649275114	0
ZNF827	-2.258657058	-2.191899743	-1.109161796	-1.05188852
FETUB	-1.639545466	1.39537611	2.03815404	0
MIR99AHG	-3.090310522	-1.759102322	-2.757523095	0
CCND1	-2.469712402	4.801158024	5.5910616	0
DNM3	3.069460719	-4.064303309	-1.794079725	-1.515038305
RBM3	-1.527933955	-1.350820125	2.440419115	0
SBNO1	1.612036279	-2.846755358	1.703384826	0
GLYAT	-3.808736979	-1.427065069	-2.399900083	0
ICAM5	5.128732224	-3.303135257	1.847126891	0
EIF4G2	-1.225937563	-2.695306007	1.668579608	0
PDLIM1	-1.569373879	6.135569951	1.555154029	0
ARL13B	1.823669535	-2.621795874	2.108477656	0
GABBR1	3.122822276	-1.700568135	-3.462190481	0
PKLR	-4.10965171	6.043155263	3.454811231	0
ENPP2	2.111204031	-1.638675333	1.854410233	0
RASGRP2	3.345086561	-1.957386235	4.837287564	0
PHYHD1	-2.703539968	1.927261168	1.032349896	0
TBRG1	0.753638477	4.501916985	6.360958097	0
AF111167.2	1.591633675	-2.155138678	-1.502143277	0
ATP8A1	3.814685005	-2.180880415	-1.522357009	0
SPR	-1.541290525	1.870118221	-1.924286827	0
LUC7L2	-2.043132186	-2.422642313	3.188322093	0
INTS6L	3.65238196	2.096520256	-1.028501726	0
CU633967.1	-2.063882877	5.968037464	3.765634334	0
NEFL	4.212394139	-2.300402691	-3.440752132	0
TGFBR3	1.345937577	2.697518835	-2.262443922	0
FAM129A	1.754034594	-1.424278017	4.177448989	-0.789357039
PCLO	3.672168244	5.083417293	0.992813226	0
NIM1K	4.139351511	2.792668504	-1.931665946	0
ATP1B2	4.359479083	-1.718949967	1.813083675	0
CYP2C9	-1.920724474	-2.099417394	-1.491805464	0
DLC1	1.222372535	-4.715184508	-1.888517966	0
FAM122A	1.224308775	1.557782748	-2.146947868	0
ITFG2	-1.901883163	-2.524904846	-1.704523423	0
NIPAL3	1.181488447	-0.993354947	1.132878797	0
H1F0	1.753138354	-1.422928671	2.678529946	0
MAP2	1.502606393	-1.352562067	4.156933948	-1.243343505
MOCOS	-1.110132312	-1.019131982	2.329646695	0
SLC23A1	-4.122206114	-2.034616574	-1.476366764	0
APOL2	-1.615521723	3.811718201	-1.056331846	0
TMEM67	2.071417868	1.466777716	-1.576505133	0
AJUBA	-1.740591735	3.984811491	3.225078424	0
DHRS4	-1.592671994	-2.900594175	4.938667561	0
MERTK	1.701067418	5.336777076	-3.550965046	0
CYP2C8	-2.826852227	1.625246174	-3.365661063	0
SLC20A1	1.343689198	1.883553277	-3.766424039	0
AC015917.2	-4.675421348	2.049831035	-2.53154794	0
ST5	-2.058850961	-2.309339981	-1.576784248	0
PHGDH	1.564442782	-0.789423624	-3.522538688	0
ACTR1A	-1.126724661	-4.133437856	3.1152136	0
CARD8	-2.0121533	-2.293052796	2.231055662	0
FAAP24	-3.772228954	1.707927775	3.348593743	0
RBP7	2.855318128	1.702189941	-2.88711996	0
KDELC2	-1.665827805	5.638886063	-2.308763368	0
AC098934.2	3.452124518	3.321217058	-1.376165662	0
GLP2R	-2.918353722	-3.957545536	-1.395070757	-1.889605573
GPR155	2.605786653	1.960430984	-1.514906852	0
CXorf57	2.897269248	2.068121381	-2.087538036	0
SLC7A9	-2.066135263	1.431784703	-1.843076253	0
PVR	-1.846288697	-1.338973058	-1.120335109	0
CPA4	1.711778914	-2.166802769	6.241084829	0
TTC21A	2.025498896	1.61454581	2.73655105	0
CENPV	-1.317657004	2.091280414	-3.237090912	0.535731438
CRYZL2P	-1.85945407	-2.052761228	3.552474364	0
UNC5B	3.239008312	-2.416281838	-3.61007942	0
NCCRP1	4.993296551	-1.247818545	-1.23839727	0
SPON1	-3.002975203	6.151800866	1.626606111	0
AL359893.1	-4.56851178	-1.074161692	-1.76471918	0
AKR1C1	-1.724118887	-1.941078468	2.59858969	0
ERMAP	-1.964247482	0.728602066	-4.736783759	0
BEX1	4.546531452	1.863539134	1.091256017	0
FN1	-1.141843706	4.17096603	-2.311348993	0
MOV10	-2.352000589	-3.603232052	3.014776164	0
TFPI2	2.811925599	3.807564397	2.126464625	0
TMEM108	4.950148318	4.440166549	1.931552509	0
ABCB10	-2.046191959	-0.895849456	3.227393373	0
ESAM	2.958144681	-2.659713446	4.406584579	0
INHBE	-2.252053212	5.919093284	-1.452832922	0
MRPL49	-1.04049124	-2.294757655	5.220920334	0
TRIM16	-1.66200671	3.668451957	0.92769586	0
CTSO	-2.557971383	1.8789143	-1.003286731	0
PALM3	-4.361712757	-2.504029653	5.064249103	0
SLC44A3	-1.418347779	2.185803651	-1.266096342	0
TUBA4B	-2.293519589	-1.257892528	1.856574217	0
CNKSR2	2.21852028	-1.186749576	-3.462225989	0
PTPRN	4.399896068	-1.616552564	-2.001692566	3.814332313
SPARC	-2.998378024	-2.756059799	-1.71842966	-2.145709987
TXNDC16	3.316393406	-3.768709664	-1.489815136	0
FLJ20021	1.862594227	-0.792686172	-4.698012799	0
TSPYL2	1.764481397	-0.741624267	1.378963688	0
ANK2	2.817594365	-1.796458883	1.167279332	0
GPR3	3.670985828	1.922048897	-3.502599959	0
AC102945.2	-3.01466621	2.567780081	5.182636438	0
GM2A	1.515140186	-3.259159848	-1.197181383	0
TNIK	1.581639698	3.512227107	1.639017287	0
IGF2BP2	2.265157821	2.075817378	4.318615063	0
FAM136A	-1.779744699	1.739478969	1.635411514	0
JMY	1.864045305	-2.510497917	-1.746376508	0
NIPAL2	-1.765923064	1.524114473	-1.924380577	0
CR2	4.796448227	2.07248003	-1.491998081	0
MT1B	3.918434527	4.438002702	-0.806645612	0
SCMH1	-2.275116256	6.448196899	0.742763452	0
AMN1	3.166419021	4.238477395	3.505007398	0
CNTNAP1	2.906685857	0.78786777	-1.250165006	0
TACR1	4.670330336	3.493735513	2.167015749	0
DDX56	-1.175905292	-2.935580582	3.966160698	0
RBP5	-2.526369244	-1.21724192	1.586918057	0
PLPPR4	4.284604508	-1.594461302	4.79412615	0
AC006058.1	4.199274588	-2.878828801	-2.961856661	1.937381753
ERBB3	-1.543029292	4.068164442	-1.478091703	0
ZNF704	-1.590221749	-2.215026134	-0.736758753	-0.64389137
PMM1	1.714573544	6.126164645	5.00735268	0
MT-CO1	-2.418876615	4.810983238	-1.404108833	0
ANP32B	-1.002253254	-3.337662055	-3.244405437	0
HAMP	-3.566081215	-0.930089655	-2.125644951	-2.917025596
KLHDC7A	-3.709528034	5.287616997	3.454040813	0
CYP26B1	4.281782792	4.942201402	-0.840875403	0
PARVB	-1.520485326	1.217533743	-2.373026971	0
ID1	-2.646975336	-2.211542248	-2.996030269	0
AC245297.1	3.024715785	4.302341512	1.084020209	0
NEK10	4.049361673	-3.455205507	3.743151314	0
DCAF16	1.148944128	4.433057905	4.152971119	0
CEND1	4.463978442	-1.751322353	2.72142439	0
UROD	-1.467269442	1.016067766	2.997673762	0
ZNF488	3.758421923	2.231005464	2.143217309	0
FAIM	-4.386116922	1.441306725	1.513831849	0
KLF12	1.488472595	2.101337602	2.677083014	0
AC103740.1	-2.396017345	4.854343199	-2.285466283	0
CLCF1	-3.723645442	-2.397534438	1.598281547	0
EPHX3	4.731842628	2.88534763	5.770937994	0
CDK5R2	4.970461181	1.075602777	2.824258365	0
FNTB	-1.302828877	1.483774131	3.158636258	0
UGT1A6	-1.942429397	1.821443536	-1.019714998	0
LIX1L	-1.455251262	-1.933024484	6.156935376	0
ALDOB	-1.589220126	3.486582971	1.062138552	0
SIX4	2.386957449	-2.528257289	1.710899505	0
ACTR3C	-2.083029096	-1.955696236	3.201969596	0
SYNPO2	2.890420632	1.106983444	-1.553118079	0
CEP104	1.028259134	-2.958191382	3.991447882	0
SLC7A10	3.78818437	-1.062149162	1.04641848	0
NCL	-1.857936042	1.463058802	2.764984317	0
EIF4E2	-1.522770696	2.151111565	2.865477683	0
FERMT1	-2.661059704	-1.609270743	2.126617264	0
ABCA1	-1.361020314	6.34774576	2.420433404	-0.951905325
SATB1	-1.081528294	-1.795048	-1.05076458	0
SRSF1	-1.570644795	-1.896156288	6.316260156	0
FGF1	-3.098217563	4.271887108	1.967496572	0
TLE4	1.45821491	-2.51292743	2.294786497	0
CA5B	2.170059423	-2.550762406	1.294891102	0
AXL	-2.588965648	-1.519949339	-2.537614892	0
HOXA13	4.909493155	2.284798584	-0.894727963	0
CNTNAP2	0.923106949	1.515362689	-3.211933957	0
GFY	5.080467338	2.038255879	6.888649063	3.705704558
MT-ND5	-3.055557948	1.984574231	-1.750134064	0
LEAP2	-2.946343888	-1.470356982	-0.944760072	0
LPAR3	3.036386258	0.747729401	3.57016134	0
BMP6	4.50010009	-3.026144006	1.594736075	0
GPRC5A	1.508699929	6.181500748	1.83369317	0.653284679
GFOD1	1.621733738	-1.492726372	-1.806816166	0
PTPN13	3.293409779	1.408868925	-3.294152868	0
FDPS	-1.341566714	1.125308451	2.652299034	0
CYP11A1	-2.680979812	-1.039326433	1.74979378	0
TMEM135	1.009045679	2.276228141	-2.725090794	-0.65954459
MTA3	-1.473966459	-1.874394354	-1.554396515	0
AC125611.3	-2.276034982	2.275412629	1.397805983	0
PRDM10	-1.438342225	-1.763695506	2.374815642	0
ZNF689	-1.893742159	1.811374916	-3.817588624	0
AKAP7	-2.734903708	3.044364885	2.290759109	0
DNAJC17	-2.450310191	-1.373700321	-1.219958595	0
SOD2	-1.786058032	3.214650398	-1.346818955	0
VGF	4.73090023	-0.977037309	-0.834590955	0
ZHX2	-1.935549142	-1.829050322	-1.348386038	0
SAA4	-1.908843902	2.387523708	1.924461509	0
ARSD	-1.406571333	-2.469205057	5.606543962	0
PARP4	-1.520279035	4.510178213	-2.044357771	0
TMCC1	-1.783265004	5.959963421	-1.85483567	0
ENO1	-1.174676115	-1.069744651	3.345748198	0
ZFP57	2.622021266	-1.573345384	-2.307001247	0
AMPD3	-1.742473097	-1.06952604	1.744778711	0
PYM1	-1.691121079	-1.446164124	-2.446756192	0
LAPTM5	-2.260106638	-2.228609941	5.242120204	-1.665987413
RORB	5.247901875	1.21536597	-1.911616488	0
RFTN1	-1.219589981	-3.591114992	-1.401249989	0
NEK4	1.09124523	-1.572593819	4.609648543	0
TP53	-3.036848393	1.287751107	3.058899158	0
PELI2	3.056063408	-3.506291806	-2.884896575	0
TAC1	5.010949974	4.406097175	1.898265515	0
PIGZ	-3.022455348	-1.804653999	5.149375631	0
USP13	-1.563589957	-1.533862915	3.641681252	0
CALCA	2.700186923	-1.028799293	1.901697281	3.417314959
GMNC	1.697595584	1.657226386	0.772406774	0
NRCAM	1.917260923	5.228089516	1.799642583	0.964939438
TXNDC5	-1.377256692	-1.180863439	-1.2798436	0
SHMT1	-1.183283174	4.249603646	1.393195047	-0.624765521
TEX15	5.207676602	1.140554576	-2.323126657	0
ING1	1.822008829	1.64254939	-1.866955376	0
ITSN1	-0.820106191	1.871209174	1.044527727	0
ITIH3	-1.093173828	2.968737412	1.899188212	0
IDH3A	1.468823841	-2.664243259	-2.929672795	0
FAM20A	-2.109198086	-2.995853136	-1.925393145	0
HSPA8	-1.753453063	-2.738265693	-2.544242615	0
AC036176.1	2.896205462	1.615387899	4.191681245	0
AIMP2	-1.131787786	3.89897172	-1.256309473	0
CRISPLD2	2.70086628	-2.874489875	2.348872949	0
BRINP1	3.301573537	0.81489549	-2.136047974	0
DNASE1L1	-2.231236801	-2.642674728	2.90168657	0
ALOX5	3.213454423	-2.055607908	-1.415783202	0
DZIP1	2.631875547	-1.678017296	4.974146396	0
SHISA7	5.093038812	3.415595211	-0.606747149	0
GRAMD1B	-2.435065791	-2.798400228	-1.262818821	-1.452938668
INPP5F	1.981608728	1.819679954	4.749398783	0
KCNC1	5.165037307	-1.051910964	-1.298881272	0
ACSM2B	-2.634599615	2.153156332	-2.661995017	0
ZDHHC7	-1.102796533	3.5146154	5.739980748	0
RCAN1	-1.4203888	-2.15937402	3.431772731	0
WDR7	1.049326271	3.15923913	-1.87486896	0
BTBD3	1.595991077	-3.306223829	-2.336671316	0
PCBP3	4.569447482	-1.431454187	-1.372074919	0
AZIN2	2.308269707	2.234921154	2.332475984	0
SMARCC1	-1.331483486	-4.883204568	-2.657745419	0
LARP6	1.121129178	0.946336268	-1.324613342	0
HEY1	3.030355104	4.12980995	4.159176851	0
TOX2	3.758482625	1.116849331	4.83451337	0
BAIAP2L2	-3.834644075	-4.671586469	-0.604895186	0
TIMP4	2.39290446	-2.112032697	-2.833753512	0
CALCB	3.932567125	-1.576483015	1.320450961	0
FMNL2	1.237622558	1.219415104	2.793500737	0
SLC22A18AS	-3.155730928	-0.997852478	-3.276917297	0
BNIP3L	1.363366469	-3.121124682	2.089364387	0
GIT2	-1.066366797	1.478948857	2.434267387	0
ZBED1	-1.910505031	-1.118993625	-2.690377477	0
HOXA1	5.020237175	1.320439978	-2.496569894	0
VIM	-2.02373921	-2.64259333	6.024942447	0
RMDN3	1.135566629	6.188601135	5.646262469	0
C1QL4	4.065205658	4.009032056	-1.58518665	0
OR2I1P	-3.836275977	3.491515237	3.628901426	0
MYZAP	4.350143878	5.496731669	-1.513210201	0
HNRNPF	-0.907881032	-1.806580494	1.069766829	0
TRIM21	-1.826989233	1.410377713	1.51815554	0
CHAC1	3.523649419	4.955240497	4.197458274	0
LIF	-3.136599858	1.845756007	-2.0079343	0
NUDT17	-3.106289546	2.722283367	-2.664767379	0
UBE2E1	-1.530187252	-0.969951788	1.264622085	0
LINC01006	1.432947209	-1.89248819	1.284591887	0
TMOD2	1.625260995	2.068193427	-2.924915853	0
DOCK1	-1.101044683	4.399410013	-1.902014434	0
GPRIN1	2.239805229	-3.617652909	-2.71715608	0
GALT	-1.861440943	1.873036399	-1.447775523	0
RPS6KA3	-1.835537243	-3.460324309	3.567514974	0
PPP1R2	1.117009095	-1.790140892	-1.472625144	0
SYTL2	2.565045055	1.539437901	1.329233589	0
ITIH2	-2.094101815	2.031708857	3.108293961	0
ABCC6	-1.83173614	3.874400319	-1.984498441	0
PTPRM	-0.812310668	1.697781029	3.968582211	0
MARVELD2	-1.730689121	1.165088622	1.561553399	0
INO80C	-1.793283864	-1.449483684	0.839284758	0
KIF3B	1.158019645	0.754485794	-1.28111434	0
PEG3	2.147875588	-3.965059393	1.260383432	0
CNNM2	1.348135316	6.99928097	1.133810647	0
TRIM47	-2.92253326	3.38288927	2.857679586	0
GFI1	3.117420884	-0.705599233	5.806074721	0
F10	-1.225482773	-1.623430485	4.269487286	0
LANCL3	4.420511135	-4.05662511	4.095248552	0
TM4SF1	-2.158650143	-2.045358959	-2.847598505	0
TFAP2C	4.961693977	1.248442615	-2.768216229	0
STAT6	-2.460637603	-2.029076593	-2.716513211	0
CKMT1A	4.293612794	-1.945853723	-1.223360147	2.415537167
USP49	1.359580312	-3.071455013	4.616992817	0
DCAF11	1.201476563	5.172336669	-2.859124241	0
PSG3	-2.799642855	-1.852842284	2.048806465	0
DCLK1	4.052017595	-1.741242362	-3.021898539	0
PFN2	1.441491827	1.744237616	-1.241665719	0
SYDE1	-3.17843412	1.663022062	-1.753727017	0
RADIL	4.376195638	4.38103294	-1.732545907	-2.491473763
LINC00885	-3.958283929	2.5690522	5.683883705	-1.604283518
EHHADH	-1.866682582	7.068476374	-1.212460997	0
ARL4C	2.070539054	3.230780285	1.99600221	0
IRF2	-1.128661049	2.858858082	2.773930665	0
SYP	3.574926278	1.965266391	-1.327626917	0
PGAM1	-0.853995452	2.460415871	4.691134106	0
DDIT3	2.867694574	1.091218221	-1.208284645	0
NEFM	3.758727164	-2.725743378	4.451528084	0
LHX2	4.398478304	2.624517288	-1.088033487	0
HOXD8	4.709486255	0.955983801	3.915767904	0
BARX1	4.77538265	-2.494871282	-1.240309759	0
LINC00869	-1.638626637	2.390923234	2.352474993	0
AGPAT4	1.864142069	-0.913465114	2.018688486	0
GPT2	1.170734819	-3.907588044	1.412193636	0
AC021074.3	2.126755558	-1.501760585	1.190991857	0
PLIN1	-3.149573038	1.402561001	2.861797945	0
SAXO2	3.147027336	5.599053492	5.436854894	0
LIPC	-1.184022961	-2.500007972	2.917435208	0.986428164
EOGT	-2.081583462	-3.004120744	5.801127471	0
CCSER2	1.747276444	-1.833408639	-1.927797726	0
DUSP3	-1.49912992	4.214714271	1.309916519	0
PDPK1	1.2826405	-2.501707372	7.143776403	0
FAM57A	-2.847738913	-1.134931523	1.730971783	0
EYA4	4.738133077	1.581451433	1.755218428	0
YPEL2	-1.007550109	-1.305515229	-0.951419727	0
GPX7	-2.440241356	-3.307600968	2.937464462	0
F5	-1.254456742	4.574002666	-0.789392896	0
MAPK13	-2.244613847	1.243870248	-1.437584523	0
PROSER2	-2.371839265	-1.847853997	-3.794221082	0
HIST1H2AG	2.898260468	1.850789005	3.026137173	0
MGAM	-1.228086017	-3.09940453	-3.669218096	0.91977823
TMCC3	1.616931466	4.767143046	3.30306622	-1.038973681
CENPO	-1.307994665	1.059308032	1.961431541	0
TRIM31	2.027269988	-1.85765364	0.920563639	0
TACC3	-2.43915939	-1.912967291	4.946805936	0
CAPN2	-0.802124666	2.94212241	-1.584385935	0
OLMALINC	2.138971409	-3.938949748	4.766502216	-2.31554577
SERPIND1	-1.468735897	-1.582971385	-2.803294432	0
FNDC5	-2.111228368	1.766008579	-0.493635345	0
PSG7	-3.907864721	-2.0626692	4.604941935	0
ITIH1	-1.325613634	-2.806610943	2.889726201	0
HOGA1	-1.634071473	4.632569295	-2.40130186	0.734085174
DHRSX	-1.40547317	-2.082395086	1.775012732	0
UHRF1BP1	-1.120173347	-0.796427185	-1.646693834	0
GLRX5	1.91629938	3.462516783	-1.2296327	0
COX6B2	4.700192688	1.3299683	3.211454528	0
SF3B3	-0.966536711	-0.931555476	3.094712743	0
BICC1	-1.91614124	-2.600841709	-0.860807767	-1.193538327
ALDH18A1	-0.799042067	2.557155498	5.078840322	0
GPC3	2.928490564	-1.039471149	1.403241667	0
RAB39A	4.742188244	6.30439642	-3.645634459	0
BCAT1	3.261416513	-1.222018491	5.69314159	0
PKIA	5.050264296	-1.050823121	-1.802058354	0
NME6	-1.643061468	6.037673024	-1.823877612	0
SQOR	-1.521467398	2.422825916	5.662328733	0
RBPMS	-2.872005425	-1.204884354	3.916580179	0
PLA2G12A	1.281668538	0.979053173	2.474045771	0
DAO	-2.351268252	-4.165858453	2.462362129	0
EARS2	-1.20256273	2.695184145	-2.617592641	0
APMAP	0.943022335	5.222770514	3.574147039	0
LARS2	-1.133592184	-1.429983211	3.888286932	0
MT-ND1	-2.898088052	2.186321138	2.202535546	0
TJP2	-0.738296204	-5.22689332	-3.260261532	0
BBS2	1.153080388	-0.87349042	1.762458352	0
HBEGF	1.764052153	2.125126326	4.939686894	0
UBE2L3	-1.206888079	-2.611333489	-4.349276361	0
TBX18	4.356661052	2.888794409	2.54895647	0
WDR54	1.7675715	-1.629536925	6.157607583	0
SLC25A44	1.085518888	3.298780052	1.99408953	0
CASC4	1.228297025	-2.421344091	0.883411026	0
MT3	3.876825862	3.164129534	1.811396996	0
AHRR	3.13455221	-3.246953587	1.252673627	0
MINDY1	-1.619887359	3.464784599	0.501893048	0
CCDC3	2.505837725	2.523120558	1.096632968	0
BEX5	2.816106681	-2.397409028	1.462651557	0
MT-ND2	-2.59858278	-2.099707458	-1.857858652	0
GALNT6	1.908598147	1.227237837	-2.684424563	0
TLL2	2.86832164	3.475345032	1.380240249	0
AVPI1	1.577501592	1.932536827	1.207116713	0
LRCH3	-0.734624522	3.625673114	-1.99298532	0
ARSE	-1.260913486	3.686344282	-0.956054168	0
ZNF252P	1.393812361	-1.776252065	3.545552088	0
HSDL1	1.669475181	2.812462907	3.763364756	0
ZC3HC1	-1.340910336	5.35759887	2.821158087	0
ZBTB1	-1.605931016	-1.210182845	-1.279962523	0
CGNL1	-0.942647491	1.754207096	2.908513553	0
DCDC2	-3.014103889	0.619919906	2.671146827	0
TTC5	1.377684206	1.665373511	-1.492925661	0
CFAP58-DT	4.220437477	-1.461428769	-1.883914788	0
CDH1	-1.746237828	1.338344275	-3.42749382	0
AHSG	-1.69393274	-1.385884052	5.045909198	0
MT-ND6	-3.28252584	-1.334351648	-1.164845096	0
OSR2	4.543814391	2.343158404	3.662575382	0
RNF182	4.302129787	1.219366384	3.745225006	0
TMEM241	1.403885985	2.779226284	-1.175099823	0
RGS9BP	4.672032372	-3.867713483	1.852720842	0
